,State-County,"1st, 2nd, 3rd","votes1, votes2, votes3","pct1, pct2, pct3","party1, party2, party3"
893,Kentucky - Simpson,Bush / Kerry / Others,4273 / 2730 / 40,60.7% / 38.8% / 0.6%,Republican / Democratic / Others
894,Kentucky - Spencer,Bush / Kerry / Others,4816 / 1970 / 36,70.6% / 28.9% / 0.5%,Republican / Democratic / Others
895,Kentucky - Taylor,Bush / Kerry / Others,7247 / 2979 / 69,70.4% / 28.9% / 0.7%,Republican / Democratic / Others
896,Kentucky - Todd,Bush / Kerry / Others,3242 / 1491 / 21,68.2% / 31.4% / 0.4%,Republican / Democratic / Others
897,Kentucky - Trigg,Bush / Kerry / Others,4023 / 2046 / 42,65.8% / 33.5% / 0.7%,Republican / Democratic / Others
898,Kentucky - Trimble,Bush / Kerry / Others,2332 / 1428 / 30,61.5% / 37.7% / 0.8%,Republican / Democratic / Others
899,Kentucky - Union,Bush / Kerry / Others,3534 / 2398 / 45,59.1% / 40.1% / 0.8%,Republican / Democratic / Others
900,Kentucky - Warren,Bush / Kerry / Others,25100 / 14326 / 285,63.2% / 36.1% / 0.7%,Republican / Democratic / Others
901,Kentucky - Washington,Bush / Kerry / Others,3479 / 1724 / 33,66.4% / 32.9% / 0.6%,Republican / Democratic / Others
902,Kentucky - Wayne,Bush / Kerry / Others,5027 / 2616 / 42,65.4% / 34.0% / 0.5%,Republican / Democratic / Others
903,Kentucky - Webster,Bush / Kerry / Others,3207 / 2304 / 36,57.8% / 41.5% / 0.6%,Republican / Democratic / Others
904,Kentucky - Whitley,Bush / Kerry / Others,9559 / 3985 / 85,70.1% / 29.2% / 0.6%,Republican / Democratic / Others
905,Kentucky - Wolfe,Kerry / Bush / Others,1744 / 1385 / 26,55.3% / 43.9% / 0.8%,Democratic / Republican / Others
906,Kentucky - Woodford,Bush / Kerry / Others,6937 / 4480 / 85,60.3% / 38.9% / 0.7%,Republican / Democratic / Others
907,Louisiana - Acadia,Bush / Kerry / Others,16083 / 8937 / 210,63.75% / 35.42% / 0.83%,Republican Party / Democratic / Others
908,Louisiana - Allen,Bush / Kerry / Others,5140 / 3791 / 193,56.33% / 41.55% / 2.12%,Republican Party / Democratic / Others
909,Louisiana - Ascension,Bush / Kerry / Others,24652 / 13952 / 484,63.07% / 35.69% / 1.24%,Republican Party / Democratic / Others
910,Louisiana - Assumption,Kerry / Bush / Others,5585 / 4966 / 184,52.03% / 46.26% / 1.71%,Democratic / Republican Party / Others
911,Louisiana - Avoyelles,Bush / Kerry / Others,8302 / 6976 / 247,53.48% / 44.93% / 1.59%,Republican Party / Democratic / Others
912,Louisiana - Beauregard,Bush / Kerry / Others,9468 / 3666 / 145,71.30% / 27.61% / 1.09%,Republican Party / Democratic / Others
913,Louisiana - Bienville,Bush / Kerry / Others,3529 / 3221 / 125,51.33% / 46.85% / 1.82%,Republican Party / Democratic / Others
914,Louisiana - Bossier,Bush / Kerry / Others,29921 / 12116 / 348,70.59% / 28.59% / 0.82%,Republican Party / Democratic / Others
915,Louisiana - Caddo,Bush / Kerry / Others,54162 / 51502 / 563,50.99% / 48.48% / 0.53%,Republican Party / Democratic / Others
916,Louisiana - Calcasieu,Bush / Kerry / Others,46058 / 32844 / 759,57.82% / 41.23% / 0.95%,Republican Party / Democratic / Others
917,Louisiana - Caldwell,Bush / Kerry / Others,3308 / 1384 / 60,69.61% / 29.12% / 1.26%,Republican Party / Democratic / Others
918,Louisiana - Cameron,Bush / Kerry / Others,3190 / 1367 / 83,68.75% / 29.46% / 1.79%,Republican Party / Democratic / Others
919,Louisiana - Catahoula,Bush / Kerry / Others,3215 / 1673 / 62,64.95% / 33.80% / 1.25%,Republican Party / Democratic / Others
920,Louisiana - Claiborne,Bush / Kerry / Others,3704 / 2854 / 72,55.87% / 43.05% / 1.09%,Republican Party / Democratic / Others
921,Louisiana - Concordia,Bush / Kerry / Others,5426 / 3446 / 107,60.43% / 38.38% / 1.19%,Republican Party / Democratic / Others
922,Louisiana - De Soto,Bush / Kerry / Others,6211 / 5026 / 99,54.79% / 44.34% / 0.87%,Republican Party / Democratic / Others
923,Louisiana - East Baton Rouge,Bush / Kerry / Others,99890 / 82171 / 1406,54.45% / 44.79% / 0.77%,Republican Party / Democratic / Others
924,Louisiana - East Carroll,Kerry / Bush / Others,1980 / 1357 / 58,58.32% / 39.97% / 1.71%,Democratic / Republican Party / Others
925,Louisiana - East Feliciana,Bush / Kerry / Others,5020 / 4091 / 89,54.57% / 44.47% / 0.97%,Republican Party / Democratic / Others
926,Louisiana - Evangeline,Bush / Kerry / Others,8361 / 5756 / 294,58.02% / 39.94% / 2.04%,Republican Party / Democratic / Others
927,Louisiana - Franklin,Bush / Kerry / Others,6140 / 2828 / 130,67.49% / 31.08% / 1.43%,Republican Party / Democratic / Others
928,Louisiana - Grant,Bush / Kerry / Others,5908 / 1976 / 103,73.97% / 24.74% / 1.29%,Republican Party / Democratic / Others
929,Louisiana - Iberia,Bush / Kerry / Others,19416 / 12423 / 427,60.17% / 38.50% / 1.32%,Republican Party / Democratic / Others
930,Louisiana - Iberville,Kerry / Bush / Others,8063 / 6560 / 223,54.31% / 44.19% / 1.50%,Democratic / Republican Party / Others
931,Louisiana - Jackson,Bush / Kerry / Others,5037 / 2523 / 84,65.89% / 33.01% / 1.10%,Republican Party / Democratic / Others
932,Louisiana - Jefferson,Bush / Kerry / Others,117692 / 71936 / 1641,61.53% / 37.61% / 0.86%,Republican Party / Democratic / Others
933,Louisiana - Jefferson Davis,Bush / Kerry / Others,8064 / 4845 / 206,61.49% / 36.94% / 1.57%,Republican Party / Democratic / Others
934,Louisiana - LaSalle,Bush / Kerry / Others,5012 / 1154 / 68,80.40% / 18.51% / 1.09%,Republican Party / Democratic / Others
935,Louisiana - Lafayette,Bush / Kerry / Others,57730 / 31205 / 981,64.20% / 34.70% / 1.09%,Republican Party / Democratic / Others
936,Louisiana - Lafourche,Bush / Kerry / Others,22734 / 14417 / 712,60.04% / 38.08% / 1.88%,Republican Party / Democratic / Others
937,Louisiana - Lincoln,Bush / Kerry / Others,10791 / 7242 / 185,59.23% / 39.75% / 1.02%,Republican Party / Democratic / Others
938,Louisiana - Livingston,Bush / Kerry / Others,33948 / 9888 / 382,76.77% / 22.36% / 0.86%,Republican Party / Democratic / Others
939,Louisiana - Madison,Kerry / Bush / Others,2334 / 2291 / 48,49.95% / 49.03% / 1.03%,Democratic / Republican Party / Others
940,Louisiana - Morehouse,Bush / Kerry / Others,7470 / 5331 / 161,57.63% / 41.13% / 1.24%,Republican Party / Democratic / Others
941,Louisiana - Natchitoches,Bush / Kerry / Others,9260 / 7396 / 307,54.59% / 43.60% / 1.81%,Republican Party / Democratic / Others
942,Louisiana - Orleans,Kerry / Bush / Others,151686 / 42760 / 1640,77.36% / 21.81% / 0.84%,Democratic / Republican Party / Others
943,Louisiana - Ouachita,Bush / Kerry / Others,41747 / 22011 / 678,64.79% / 34.16% / 1.05%,Republican Party / Democratic / Others
944,Louisiana - Plaquemines,Bush / Kerry / Others,7865 / 4181 / 106,64.72% / 34.41% / 0.87%,Republican Party / Democratic / Others
945,Louisiana - Pointe Coupee,Kerry / Bush / Others,5712 / 5429 / 130,50.68% / 48.17% / 1.15%,Democratic / Republican Party / Others
946,Louisiana - Rapides,Bush / Kerry / Others,34432 / 18904 / 776,63.63% / 34.93% / 1.43%,Republican Party / Democratic / Others
947,Louisiana - Red River,Bush / Kerry / Others,2507 / 2140 / 88,52.95% / 45.20% / 1.86%,Republican Party / Democratic / Others
948,Louisiana - Richland,Bush / Kerry / Others,5471 / 3082 / 112,63.14% / 35.57% / 1.29%,Republican Party / Democratic / Others
949,Louisiana - Sabine,Bush / Kerry / Others,6704 / 2741 / 122,70.07% / 28.65% / 1.28%,Republican Party / Democratic / Others
950,Louisiana - St. Bernard,Bush / Kerry / Others,19596 / 9956 / 285,65.68% / 33.37% / 0.96%,Republican Party / Democratic / Others
951,Louisiana - St. Charles,Bush / Kerry / Others,14747 / 8895 / 222,61.80% / 37.27% / 0.93%,Republican Party / Democratic / Others
952,Louisiana - St. Helena,Kerry / Bush / Others,3173 / 2235 / 99,57.62% / 40.58% / 1.80%,Democratic / Republican Party / Others
953,Louisiana - St. James,Kerry / Bush / Others,6406 / 4545 / 190,57.50% / 40.80% / 1.71%,Democratic / Republican Party / Others
954,Louisiana - St. Jon,Kerry / Bush / Others,10293 / 8937 / 270,52.78% / 45.83% / 1.38%,Democratic / Republican Party / Others
955,Louisiana - St. Landry,Bush / Kerry / Others,18314 / 18162 / 279,49.83% / 49.41% / 0.76%,Republican Party / Democratic / Others
956,Louisiana - St. Martin,Bush / Kerry / Others,12091 / 10319 / 408,52.99% / 45.22% / 1.79%,Republican Party / Democratic / Others
957,Louisiana - St. Mary,Bush / Kerry / Others,12876 / 9544 / 267,56.75% / 42.07% / 1.18%,Republican Party / Democratic / Others
958,Louisiana - St. Tammany,Bush / Kerry / Others,75081 / 24643 / 787,74.70% / 24.52% / 0.78%,Republican Party / Democratic / Others
959,Louisiana - Tangipahoa,Bush / Kerry / Others,26170 / 15335 / 608,62.14% / 36.41% / 1.44%,Republican Party / Democratic / Others
960,Louisiana - Tensas,Kerry / Bush / Others,1468 / 1453 / 41,49.56% / 49.05% / 1.38%,Democratic / Republican Party / Others
961,Louisiana - Terrebonne,Bush / Kerry / Others,26357 / 13678 / 531,64.97% / 33.72% / 1.31%,Republican Party / Democratic / Others
962,Louisiana - Union,Bush / Kerry / Others,7457 / 3058 / 172,69.78% / 28.61% / 1.61%,Republican Party / Democratic / Others
963,Louisiana - Verm,Bush / Kerry / Others,15069 / 9083 / 398,61.38% / 37.00% / 1.62%,Republican Party / Democratic / Others
964,Louisiana - Vernon,Bush / Kerry / Others,11030 / 4035 / 242,72.06% / 26.36% / 1.58%,Republican Party / Democratic / Others
965,Louisiana - Washington,Bush / Kerry / Others,11006 / 6554 / 281,61.69% / 36.74% / 1.58%,Republican Party / Democratic / Others
966,Louisiana - Webster,Bush / Kerry / Others,11066 / 6821 / 546,60.03% / 37.00% / 2.96%,Republican Party / Democratic / Others
967,Louisiana - West Baton Rouge,Bush / Kerry / Others,5820 / 4931 / 81,53.73% / 45.52% / 0.75%,Republican Party / Democratic / Others
968,Louisiana - West Carroll,Bush / Kerry / Others,3730 / 1231 / 61,74.27% / 24.51% / 1.21%,Republican Party / Democratic / Others
969,Louisiana - West Feliciana,Bush / Kerry / Others,2832 / 2214 / 71,55.34% / 43.27% / 1.39%,Republican Party / Democratic / Others
970,Louisiana - Winn,Bush / Kerry / Others,4367 / 2056 / 83,67.12% / 31.60% / 1.28%,Republican Party / Democratic / Others
971,Mississippi - Adams,Kerry / Bush / Others,7844 / 6487 / 45,54.56% / 45.12% / 0.31%,Democratic Party / Republican Party / Others
972,Mississippi - Alcorn,Bush / Kerry / Others,8605 / 5364 / 141,60.99% / 38.02% / 1.00%,Republican Party / Democratic Party / Others
973,Mississippi - Amite,Bush / Kerry / Others,4106 / 2973 / 38,57.69% / 41.77% / 0.53%,Republican Party / Democratic Party / Others
974,Mississippi - Attala,Bush / Kerry / Others,4882 / 3014 / 49,61.45% / 37.94% / 0.62%,Republican Party / Democratic Party / Others
975,Mississippi - Benton,Kerry / Bush / Others,2234 / 1962 / 33,52.83% / 46.39% / 0.78%,Democratic Party / Republican Party / Others
976,Mississippi - Bolivar,Kerry / Bush / Others,8560 / 4722 / 145,63.75% / 35.17% / 1.08%,Democratic Party / Republican Party / Others
977,Mississippi - Calhoun,Bush / Kerry / Others,4096 / 2211 / 24,64.70% / 34.92% / 0.38%,Republican Party / Democratic Party / Others
978,Mississippi - Carroll,Bush / Kerry / Others,3652 / 1897 / 28,65.48% / 34.01% / 0.50%,Republican Party / Democratic Party / Others
979,Mississippi - Chickasaw,Bush / Kerry / Others,4123 / 3991 / 72,50.37% / 48.75% / 0.88%,Republican Party / Democratic Party / Others
980,Mississippi - Choctaw,Bush / Kerry / Others,2598 / 1290 / 20,66.48% / 33.01% / 0.51%,Republican Party / Democratic Party / Others
981,Mississippi - Claiborne,Kerry / Bush / Others,4338 / 941 / 42,81.53% / 17.68% / 0.79%,Democratic Party / Republican Party / Others
982,Mississippi - Clarke,Bush / Kerry / Others,5027 / 2377 / 34,67.59% / 31.96% / 0.46%,Republican Party / Democratic Party / Others
983,Mississippi - Clay,Kerry / Bush / Others,4732 / 4333 / 46,51.94% / 47.56% / 0.50%,Democratic Party / Republican Party / Others
984,Mississippi - Coahkoma,Kerry / Bush / Others,6741 / 3643 / 132,64.10% / 34.64% / 1.26%,Democratic Party / Republican Party / Others
985,Mississippi - Copiah,Bush / Kerry / Others,6316 / 4902 / 54,56.03% / 43.49% / 0.48%,Republican Party / Democratic Party / Others
986,Mississippi - Covington,Bush / Kerry / Others,5010 / 3135 / 49,61.14% / 38.26% / 0.60%,Republican Party / Democratic Party / Others
987,Mississippi - DeSoto,Bush / Kerry / Others,35437 / 13247 / 297,72.35% / 27.05% / 0.61%,Republican Party / Democratic Party / Others
988,Mississippi - Forrest,Bush / Kerry / Others,15966 / 9781 / 189,61.56% / 37.71% / 0.73%,Republican Party / Democratic Party / Others
989,Mississippi - Franklin,Bush / Kerry / Others,2883 / 1566 / 24,64.45% / 35.01% / 0.54%,Republican Party / Democratic Party / Others
990,Mississippi - George,Bush / Kerry / Others,6182 / 1715 / 53,77.76% / 21.57% / 0.67%,Republican Party / Democratic Party / Others
991,Mississippi - Greene,Bush / Kerry / Others,3827 / 1419 / 29,72.55% / 26.90% / 0.55%,Republican Party / Democratic Party / Others
992,Mississippi - Grendada,Bush / Kerry / Others,5844 / 4154 / 52,58.15% / 41.33% / 0.52%,Republican Party / Democratic Party / Others
993,Mississippi - Hancock,Bush / Kerry / Others,12332 / 5023 / 195,70.27% / 28.62% / 1.11%,Republican Party / Democratic Party / Others
994,Mississippi - Harrison,Bush / Kerry / Others,38781 / 22555 / 474,62.74% / 36.49% / 0.77%,Republican Party / Democratic Party / Others
995,Mississippi - Hinds,Kerry / Bush / Others,51370 / 34269 / 626,59.55% / 39.73% / 0.73%,Democratic Party / Republican Party / Others
996,Mississippi - Holmes,Kerry / Bush / Others,6170 / 1925 / 37,75.87% / 23.67% / 0.45%,Democratic Party / Republican Party / Others
997,Mississippi - Humphreys,Kerry / Bush / Others,2975 / 1626 / 50,63.96% / 34.96% / 1.08%,Democratic Party / Republican Party / Others
998,Mississippi - Issaquena,Kerry / Bush / Others,510 / 437 / 15,53.01% / 45.43% / 1.56%,Democratic Party / Republican Party / Others
999,Mississippi - Itawamba,Bush / Kerry / Others,6751 / 2771 / 74,70.35% / 28.88% / 0.77%,Republican Party / Democratic Party / Others
1000,Mississippi - Jackson,Bush / Kerry / Others,34035 / 15046 / 333,68.88% / 30.45% / 0.67%,Republican Party / Democratic Party / Others
1001,Mississippi - Jasper,Kerry / Bush / Others,4081 / 3808 / 37,51.49% / 48.04% / 0.47%,Democratic Party / Republican Party / Others
1002,Mississippi - Jefferson Davis,Kerry / Bush / Others,2955 / 2667 / 138,51.30% / 46.30% / 2.40%,Democratic Party / Republican Party / Others
1003,Mississippi - Jefferson,Kerry / Bush / Others,2798 / 627 / 15,81.34% / 18.23% / 0.44%,Democratic Party / Republican Party / Others
1004,Mississippi - Jones,Bush / Kerry / Others,19032 / 7344 / 142,71.77% / 27.69% / 0.54%,Republican Party / Democratic Party / Others
1005,Mississippi - Kemper,Kerry / Bush / Others,2454 / 2107 / 28,53.48% / 45.91% / 0.61%,Democratic Party / Republican Party / Others
1006,Mississippi - Lafayette,Bush / Kerry / Others,9004 / 6218 / 166,58.51% / 40.41% / 1.08%,Republican Party / Democratic Party / Others
1007,Mississippi - Lamar,Bush / Kerry / Others,16288 / 3876 / 130,80.26% / 19.10% / 0.64%,Republican Party / Democratic Party / Others
1008,Mississippi - Lauderdale,Bush / Kerry / Others,19395 / 10026 / 134,65.62% / 33.92% / 0.45%,Republican Party / Democratic Party / Others
1009,Mississippi - Lawrence,Bush / Kerry / Others,4119 / 2355 / 48,63.16% / 36.11% / 0.74%,Republican Party / Democratic Party / Others
1010,Mississippi - Leake,Bush / Kerry / Others,2567 / 1698 / 19,59.92% / 39.64% / 0.44%,Republican Party / Democratic Party / Others
1011,Mississippi - Lee,Bush / Kerry / Others,19878 / 9895 / 237,66.24% / 32.97% / 0.79%,Republican Party / Democratic Party / Others
1012,Mississippi - Leflore,Kerry / Bush / Others,7240 / 4427 / 17,61.97% / 37.89% / 0.15%,Democratic Party / Republican Party / Others
1013,Mississippi - Lincoln,Bush / Kerry / Others,9889 / 4372 / 65,69.03% / 30.52% / 0.45%,Republican Party / Democratic Party / Others
1014,Mississippi - Lowndes,Bush / Kerry / Others,12642 / 7904 / 202,60.93% / 38.10% / 0.97%,Republican Party / Democratic Party / Others
1015,Mississippi - Madison,Bush / Kerry / Others,24015 / 12942 / 191,64.65% / 34.84% / 0.51%,Republican Party / Democratic Party / Others
1016,Mississippi - Marion,Bush / Kerry / Others,7845 / 3828 / 59,66.87% / 32.63% / 0.50%,Republican Party / Democratic Party / Others
1017,Mississippi - Marshall,Kerry / Bush / Others,7979 / 5520 / 75,58.78% / 40.67% / 0.55%,Democratic Party / Republican Party / Others
1018,Mississippi - Monroe,Bush / Kerry / Others,9223 / 6149 / 87,59.66% / 39.78% / 0.56%,Republican Party / Democratic Party / Others
1019,Mississippi - Montgomery,Bush / Kerry / Others,2953 / 2422 / 21,54.73% / 44.89% / 0.39%,Republican Party / Democratic Party / Others
1020,Mississippi - Neshoba,Bush / Kerry / Others,7581 / 2515 / 37,74.81% / 24.82% / 0.37%,Republican Party / Democratic Party / Others
1021,Mississippi - Newton,Bush / Kerry / Others,6156 / 2274 / 42,72.66% / 26.84% / 0.50%,Republican Party / Democratic Party / Others
1022,Mississippi - Noxubee,Kerry / Bush / Others,4293 / 1698 / 29,71.31% / 28.21% / 0.48%,Democratic Party / Republican Party / Others
1023,Mississippi - Oktibbeha,Bush / Kerry / Others,5485 / 4178 / 79,56.30% / 42.89% / 0.81%,Republican Party / Democratic Party / Others
1024,Mississippi - Panola,Bush / Kerry / Others,6734 / 6540 / 56,50.52% / 49.06% / 0.42%,Republican Party / Democratic Party / Others
1025,Mississippi - Pearl River,Bush / Kerry / Others,14612 / 4392 / 117,76.42% / 22.97% / 0.61%,Republican Party / Democratic Party / Others
1026,Mississippi - Perry,Bush / Kerry / Others,3729 / 1259 / 22,74.43% / 25.13% / 0.44%,Republican Party / Democratic Party / Others
1027,Mississippi - Pike,Bush / Kerry / Others,8547 / 7578 / 90,52.71% / 46.73% / 0.56%,Republican Party / Democratic Party / Others
1028,Mississippi - Pontotoc,Bush / Kerry / Others,8375 / 2591 / 95,75.72% / 23.42% / 0.86%,Republican Party / Democratic Party / Others
1029,Mississippi - Prentiss,Bush / Kerry / Others,4454 / 2119 / 40,67.35% / 32.04% / 0.60%,Republican Party / Democratic Party / Others
1030,Mississippi - Quitman,Kerry / Bush / Others,1925 / 1270 / 22,59.84% / 39.48% / 0.68%,Democratic Party / Republican Party / Others
1031,Mississippi - Rankin,Bush / Kerry / Others,41971 / 10738 / 656,78.65% / 20.12% / 1.23%,Republican Party / Democratic Party / Others
1032,Mississippi - Scott,Bush / Kerry / Others,6364 / 3780 / 31,62.55% / 37.15% / 0.30%,Republican Party / Democratic Party / Others
1033,Mississippi - Sharkey,Kerry / Bush / Others,1553 / 1115 / 413,50.41% / 36.19% / 13.40%,Democratic Party / Republican Party / Others
1034,Mississippi - Simpson,Bush / Kerry / Others,6810 / 3262 / 5,67.58% / 32.37% / 0.05%,Republican Party / Democratic Party / Others
1035,Mississippi - Smith,Bush / Kerry / Others,5566 / 1493 / 47,78.33% / 21.01% / 0.66%,Republican Party / Democratic Party / Others
1036,Mississippi - Stone,Bush / Kerry / Others,4072 / 1502 / 56,72.33% / 26.68% / 0.99%,Republican Party / Democratic Party / Others
1037,Mississippi - Sunflower,Kerry / Bush / Others,6057 / 3492 / 114,62.68% / 36.14% / 1.18%,Democratic Party / Republican Party / Others
1038,Mississippi - Tallahatchie,Kerry / Bush / Others,3377 / 2725 / 59,54.81% / 44.23% / 0.96%,Democratic Party / Republican Party / Others
1039,Mississippi - Tate,Bush / Kerry / Others,6663 / 4279 / 59,60.57% / 38.90% / 0.54%,Republican Party / Democratic Party / Others
1040,Mississippi - Tippah,Bush / Kerry / Others,6048 / 2983 / 82,66.37% / 32.73% / 0.90%,Republican Party / Democratic Party / Others
1041,Mississippi - Tishomingo,Bush / Kerry / Others,5288 / 2775 / 102,64.76% / 33.99% / 1.25%,Republican Party / Democratic Party / Others
1042,Mississippi - Tunica,Kerry / Bush / Others,1934 / 845 / 36,68.70% / 30.02% / 1.28%,Democratic Party / Republican Party / Others
1043,Mississippi - Union,Bush / Kerry / Others,7422 / 2710 / 67,72.77% / 26.57% / 0.66%,Republican Party / Democratic Party / Others
1044,Mississippi - Walthall,Bush / Kerry / Others,3873 / 2550 / 36,59.96% / 39.48% / 0.56%,Republican Party / Democratic Party / Others
1045,Mississippi - Warren,Bush / Kerry / Others,11773 / 8244 / 100,58.52% / 40.98% / 0.50%,Republican Party / Democratic Party / Others
1046,Mississippi - Washington,Kerry / Bush / Others,10562 / 7031 / 282,59.09% / 39.33% / 1.58%,Democratic Party / Republican Party / Others
1047,Mississippi - Wayne,Bush / Kerry / Others,5562 / 3193 / 40,63.24% / 36.30% / 0.45%,Republican Party / Democratic Party / Others
1048,Mississippi - Webster,Bush / Kerry / Others,3668 / 1318 / 16,73.33% / 26.35% / 0.32%,Republican Party / Democratic Party / Others
1049,Mississippi - Wilkinson,Kerry / Bush / Others,2794 / 1563 / 31,63.67% / 35.62% / 0.71%,Democratic Party / Republican Party / Others
1050,Mississippi - Winston,Kerry / Bush / Others,2859 / 2493 / 25,53.17% / 46.36% / 0.46%,Democratic Party / Republican Party / Others
1051,Mississippi - Yalobusha,Bush / Kerry / Others,3278 / 2656 / 37,54.90% / 44.48% / 0.62%,Republican Party / Democratic Party / Others
1052,Mississippi - Yazoo,Bush / Kerry / Others,5595 / 4798 / 301,52.32% / 44.87% / 2.81%,Republican Party / Democratic Party / Others
1053,Missouri - Adair,Bush / Kerry / Others,6367 / 4938 / 99,55.8% / 43.3% / 0.9%,Republican Party / Democratic Party / Others
1054,Missouri - Andrew,Bush / Kerry / Others,5135 / 3069 / 62,62.1% / 37.1% / 0.8%,Republican Party / Democratic Party / Others
1055,Missouri - Atchison,Bush / Kerry / Others,2137 / 1005 / 14,67.7% / 31.8% / 0.4%,Republican Party / Democratic Party / Others
1056,Missouri - Audrain,Bush / Kerry / Others,6294 / 4318 / 71,58.9% / 40.4% / 0.7%,Republican Party / Democratic Party / Others
1057,Missouri - Barry,Bush / Kerry / Others,9599 / 4223 / 105,68.9% / 30.3% / 0.8%,Republican Party / Democratic Party / Others
1058,Missouri - Barton,Bush / Kerry / Others,4572 / 1373 / 46,76.3% / 22.9% / 0.8%,Republican Party / Democratic Party / Others
1059,Missouri - Bates,Bush / Kerry / Others,5004 / 3398 / 64,59.1% / 40.1% / 0.8%,Republican Party / Democratic Party / Others
1060,Missouri - Benton,Bush / Kerry / Others,5575 / 3381 / 53,61.9% / 37.5% / 0.6%,Republican Party / Democratic Party / Others
1061,Missouri - Bollinger,Bush / Kerry / Others,4102 / 1754 / 39,69.6% / 29.8% / 0.7%,Republican Party / Democratic Party / Others
1062,Missouri - Boone,Bush / Kerry / Others,37801 / 37643 / 602,49.7% / 49.5% / 0.8%,Republican Party / Democratic Party / Others
1063,Missouri - Buchanan,Bush / Kerry / Others,19812 / 17799 / 339,52.2% / 46.9% / 0.9%,Republican Party / Democratic Party / Others
1064,Missouri - Butler,Bush / Kerry / Others,11696 / 4666 / 79,71.1% / 28.4% / 0.5%,Republican Party / Democratic Party / Others
1065,Missouri - Caldwell,Bush / Kerry / Others,2593 / 1645 / 30,60.8% / 38.5% / 0.7%,Republican Party / Democratic Party / Others
1066,Missouri - Callaway,Bush / Kerry / Others,11108 / 6559 / 106,62.5% / 36.9% / 0.6%,Republican Party / Democratic Party / Others
1067,Missouri - Camden,Bush / Kerry / Others,13122 / 6296 / 101,67.2% / 32.3% / 0.5%,Republican Party / Democratic Party / Others
1068,Missouri - Cape Girardeau,Bush / Kerry / Others,23814 / 10568 / 183,68.9% / 30.6% / 0.5%,Republican Party / Democratic Party / Others
1069,Missouri - Carroll,Bush / Kerry / Others,3155 / 1568 / 18,66.5% / 33.1% / 0.4%,Republican Party / Democratic Party / Others
1070,Missouri - Carter,Bush / Kerry / Others,1797 / 964 / 18,64.7% / 34.7% / 0.6%,Republican Party / Democratic Party / Others
1071,Missouri - Cass,Bush / Kerry / Others,27253 / 16681 / 283,61.6% / 37.7% / 0.6%,Republican Party / Democratic Party / Others
1072,Missouri - Cedar,Bush / Kerry / Others,4238 / 1910 / 55,68.3% / 30.8% / 0.9%,Republican Party / Democratic Party / Others
1073,Missouri - Chariton,Bush / Kerry / Others,2421 / 1892 / 27,55.8% / 43.6% / 0.6%,Republican Party / Democratic Party / Others
1074,Missouri - Christian,Bush / Kerry / Others,22102 / 9059 / 187,70.5% / 28.9% / 0.6%,Republican Party / Democratic Party / Others
1075,Missouri - Clark,Bush / Kerry / Others,1899 / 1794 / 43,50.8% / 48.0% / 1.2%,Republican Party / Democratic Party / Others
1076,Missouri - Clay,Bush / Kerry / Others,51193 / 44670 / 597,53.1% / 46.3% / 0.6%,Republican Party / Democratic Party / Others
1077,Missouri - Clinton,Bush / Kerry / Others,5287 / 4165 / 88,55.4% / 43.7% / 0.9%,Republican Party / Democratic Party / Others
1078,Missouri - Cole,Bush / Kerry / Others,24752 / 11753 / 196,67.4% / 32.0% / 0.5%,Republican Party / Democratic Party / Others
1079,Missouri - Cooper,Bush / Kerry / Others,5058 / 2400 / 50,67.4% / 32.0% / 0.7%,Republican Party / Democratic Party / Others
1080,Missouri - Crawford,Bush / Kerry / Others,5686 / 3632 / 63,60.6% / 38.7% / 0.7%,Republican Party / Democratic Party / Others
1081,Missouri - Dade,Bush / Kerry / Others,2963 / 1104 / 22,72.5% / 27.0% / 0.5%,Republican Party / Democratic Party / Others
1082,Missouri - Dallas,Bush / Kerry / Others,4788 / 2407 / 64,66.0% / 33.2% / 0.9%,Republican Party / Democratic Party / Others
1083,Missouri - Daviess,Bush / Kerry / Others,2351 / 1402 / 41,62.0% / 37.0% / 1.1%,Republican Party / Democratic Party / Others
1084,Missouri - DeKalb,Bush / Kerry / Others,2941 / 1707 / 38,62.8% / 36.4% / 0.8%,Republican Party / Democratic Party / Others
1085,Missouri - Dent,Bush / Kerry / Others,4369 / 1865 / 70,69.3% / 29.6% / 1.1%,Republican Party / Democratic Party / Others
1086,Missouri - Douglas,Bush / Kerry / Others,4498 / 1741 / 88,71.1% / 27.5% / 1.4%,Republican Party / Democratic Party / Others
1087,Missouri - Dunklin,Bush / Kerry / Others,6720 / 4901 / 56,57.5% / 42.0% / 0.5%,Republican Party / Democratic Party / Others
1088,Missouri - Franklin,Bush / Kerry / Others,26429 / 18556 / 333,58.3% / 40.9% / 0.7%,Republican Party / Democratic Party / Others
1089,Missouri - Gasconade,Bush / Kerry / Others,4753 / 2355 / 63,66.3% / 32.8% / 0.9%,Republican Party / Democratic Party / Others
1090,Missouri - Gentry,Bush / Kerry / Others,2085 / 1201 / 26,63.0% / 36.3% / 0.8%,Republican Party / Democratic Party / Others
1091,Missouri - Greene,Bush / Kerry / Others,77885 / 46657 / 724,62.2% / 37.2% / 0.6%,Republican Party / Democratic Party / Others
1092,Missouri - Grundy,Bush / Kerry / Others,3172 / 1561 / 75,66.0% / 32.5% / 1.6%,Republican Party / Democratic Party / Others
